"Labor force data by county, not seasonally adjusted, February 2021-March 2022(p)",,,,,,,,
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
                 ,  FIPS Codes  ,                                          ,           ,  Civilian  ,            ,     Unemployed,,
  LAUS Area Code ,--------------,                Area Title                ,   Period  ,    Labor   ,  Employed  ,--------------------,,
                 , State, County,                                          ,           ,    Force   ,            ,   Level  ,   Rate
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
 CN1210700000000 ,12,107," Putnam County, FL                        ",   Feb-21  ,"26,947","25,006","1,941",7.2
 CN1210900000000 ,12,109," St. Johns County, FL                     ",   Feb-21  ,"139,083","134,099","4,984",3.6
 CN1211100000000 ,12,111," St. Lucie County, FL                     ",   Feb-21  ,"148,814","140,350","8,464",5.7
 CN1211300000000 ,12,113," Santa Rosa County, FL                    ",   Feb-21  ,"83,306","79,882","3,424",4.1
 CN1211500000000 ,12,115," Sarasota County, FL                      ",   Feb-21  ,"187,676","179,055","8,621",4.6
 CN1211700000000 ,12,117," Seminole County, FL                      ",   Feb-21  ,"235,524","223,838","11,686",5
 CN1211900000000 ,12,119," Sumter County, FL                        ",   Feb-21  ,"34,041","31,981","2,060",6.1
 CN1212100000000 ,12,121," Suwannee County, FL                      ",   Feb-21  ,"17,564","16,637",927,5.3
 CN1212300000000 ,12,123," Taylor County, FL                        ",   Feb-21  ,"8,156","7,648",508,6.2
 CN1212500000000 ,12,125," Union County, FL                         ",   Feb-21  ,"4,609","4,398",211,4.6
 CN1212700000000 ,12,127," Volusia County, FL                       ",   Feb-21  ,"251,149","237,305","13,844",5.5
 CN1212900000000 ,12,129," Wakulla County, FL                       ",   Feb-21  ,"15,197","14,645",552,3.6
 CN1213100000000 ,12,131," Walton County, FL                        ",   Feb-21  ,"32,832","31,398","1,434",4.4
 CN1213300000000 ,12,133," Washington County, FL                    ",   Feb-21  ,"9,427","8,935",492,5.2
 CN1300100000000 ,13,1," Appling County, GA                       ",   Feb-21  ,"9,526","9,154",372,3.9
 CN1300300000000 ,13,3," Atkinson County, GA                      ",   Feb-21  ,"4,576","4,416",160,3.5
 CN1300500000000 ,13,5," Bacon County, GA                         ",   Feb-21  ,"4,941","4,764",177,3.6
 CN1300700000000 ,13,7," Baker County, GA                         ",   Feb-21  ,"1,164","1,102",62,5.3
 CN1300900000000 ,13,9," Baldwin County, GA                       ",   Feb-21  ,"18,033","17,018","1,015",5.6
 CN1301100000000 ,13,11," Banks County, GA                         ",   Feb-21  ,"10,160","9,861",299,2.9
 CN1301300000000 ,13,13," Barrow County, GA                        ",   Feb-21  ,"41,891","40,406","1,485",3.5
 CN1301500000000 ,13,15," Bartow County, GA                        ",   Feb-21  ,"51,099","48,884","2,215",4.3
 CN1301700000000 ,13,17," Ben Hill County, GA                      ",   Feb-21  ,"5,568","5,220",348,6.3
 CN1301900000000 ,13,19," Berrien County, GA                       ",   Feb-21  ,"7,598","7,289",309,4.1
 CN1302100000000 ,13,21," Bibb County, GA                          ",   Feb-21  ,"68,246","64,077","4,169",6.1
 CN1302300000000 ,13,23," Bleckley County, GA                      ",   Feb-21  ,"4,661","4,400",261,5.6
 CN1302500000000 ,13,25," Brantley County, GA                      ",   Feb-21  ,"7,146","6,841",305,4.3
 CN1302700000000 ,13,27," Brooks County, GA                        ",   Feb-21  ,"6,918","6,611",307,4.4
 CN1302900000000 ,13,29," Bryan County, GA                         ",   Feb-21  ,"19,531","18,863",668,3.4
 CN1303100000000 ,13,31," Bulloch County, GA                       ",   Feb-21  ,"38,240","36,404","1,836",4.8
 CN1303300000000 ,13,33," Burke County, GA                         ",   Feb-21  ,"9,283","8,703",580,6.2
 CN1303500000000 ,13,35," Butts County, GA                         ",   Feb-21  ,"11,118","10,612",506,4.6
 CN1303700000000 ,13,37," Calhoun County, GA                       ",   Feb-21  ,"2,293","2,177",116,5.1
 CN1303900000000 ,13,39," Camden County, GA                        ",   Feb-21  ,"21,753","20,992",761,3.5
 CN1304300000000 ,13,43," Candler County, GA                       ",   Feb-21  ,"6,109","5,879",230,3.8
 CN1304500000000 ,13,45," Carroll County, GA                       ",   Feb-21  ,"55,785","53,310","2,475",4.4
